"A","B","C","E","F","G","Treatment_type","Treatment_Cat"
"αPD1-ct 1 µg/mL","αCD20-TCB 0,1 nM",,"αCD20-TCB 0,1 nM","αPD1-ct 1 µg/mL",,"Combo",
"αTIGIT 10 µg/mL","αCD20-TCB 0,1 nM",,"αCD20-TCB 0,1 nM","αTIGIT 10 µg/mL",,"Combo",
"αPD1-TIM3 1 µg/mL","αCD20-TCB 0,1 nM",,"αCD20-TCB 0,1 nM","αPD1-TIM3 1 µg/mL",,"Combo",
"αPD1-LAG3 1 µg/mL","αCD20-TCB 0,1 nM",,"αCD20-TCB 0,1 nM","αPD1-LAG3 1 µg/mL",,"Combo",
"αCD19-CD28 0,1464 µg/mL","αCD19-41BBL 0,1795 µg/mL","αCD20-TCB 0,1 nM","αCD20-TCB 0,1 nM","αCD19-41BBL 0,1795 µg/mL","αCD19-CD28 0,1464 µg/mL","Combo",
"αCD19-CD28 0,1464 µg/mL","αCD20-TCB 0,1 nM",,"αCD20-TCB 0,1 nM","αCD19-CD28 0,1464 µg/mL",,"Combo",
"αPDL1 10 µg/mL",,,"αPDL1 10 µg/mL",,,"Single","Inhibiteur_CP"
"αCD20-TCB 0,1 nM","αPDL1 10 µg/mL",,"αCD20-TCB 0,1 nM","αPDL1 10 µg/mL",,"Combo",
"αCD20-TCB 1 nM","αPDL1 10 µg/mL",,"αCD20-TCB 1 nM","αPDL1 10 µg/mL",,"Combo",
"αCD19-41BBL 0,1795 µg/mL","αPDL1 10 µg/mL",,"αPDL1 10 µg/mL","αCD19-41BBL 0,1795 µg/mL",,"Combo",
"αCD79-MMAE 1 µg/mL","αCD20-TCB 0,1 nM",,"αCD20-TCB 0,1 nM","αCD79-MMAE 1 µg/mL",,"Combo",
"αCD79-MMAE 1 µg/mL","αPDL1 10 µg/mL",,"αPDL1 10 µg/mL","αCD79-MMAE 1 µg/mL",,"Combo",
"αCD79-ct 1 µg/mL","αCD20-TCB 0,1 nM",,"αCD20-TCB 0,1 nM","αCD79-ct 1 µg/mL",,"Combo",
"αTIGIT 1 µg/mL","αCD20-TCB 0,1 nM",,"αCD20-TCB 0,1 nM","αTIGIT 1 µg/mL",,"Combo",
"αTIGIT 1 µg/mL","αPDL1 10 µg/mL",,"αPDL1 10 µg/mL","αTIGIT 1 µg/mL",,"Combo",
"αTIGIT 10 µg/mL","αPDL1 10 µg/mL",,"αPDL1 10 µg/mL","αTIGIT 10 µg/mL",,"Combo",
"αPDL1 10 µg/mL","αCD19-41BBL 0,1795 µg/mL","αCD20-TCB 0,1 nM","αCD20-TCB 0,1 nM","αCD19-41BBL 0,1795 µg/mL","αPDL1 10 µg/mL","Combo",
"αPDL1 10 µg/mL","αCD19-41BBL 0,1795 µg/mL","αCD20-TCB 1 nM","αCD20-TCB 1 nM","αCD19-41BBL 0,1795 µg/mL","αPDL1 10 µg/mL","Combo",
"αCD79-ct 1 µg/mL","αPDL1 10 µg/mL",,"αPDL1 10 µg/mL","αCD79-ct 1 µg/mL",,"Combo",
"αCD20-TCB 0,01 nM",,,"αCD20-TCB 0,01 nM",,,"Single","αCD20-TCB"
"αPD1-ct 10 µg/mL",,,"αPD1-ct 10 µg/mL",,,"Single","Inhibiteur_CP"
"αPD1-LAG3 10 µg/mL",,,"αPD1-LAG3 10 µg/mL",,,"Single","Inhibiteur_CP"
"αPD1-ct 10 µg/mL","αCD20-TCB 1 nM",,"αCD20-TCB 1 nM","αPD1-ct 10 µg/mL",,"Combo",
"αPD1-LAG3 10 µg/mL","αCD20-TCB 1 nM",,"αCD20-TCB 1 nM","αPD1-LAG3 10 µg/mL",,"Combo",
"αCD20-TCB 0,01 nM","αPDL1 10 µg/mL",,"αCD20-TCB 0,01 nM","αPDL1 10 µg/mL",,"Combo",
"αCD79-MMAE 1 µg/mL","αCD20-TCB 0,01 nM",,"αCD20-TCB 0,01 nM","αCD79-MMAE 1 µg/mL",,"Combo",
"αCD79-ct 1 µg/mL","αCD20-TCB 0,01 nM",,"αCD20-TCB 0,01 nM","αCD79-ct 1 µg/mL",,"Combo",
"αTIGIT 1 µg/mL","αCD20-TCB 0,01 nM",,"αCD20-TCB 0,01 nM","αTIGIT 1 µg/mL",,"Combo",
"αTIGIT 10 µg/mL","αCD20-TCB 0,01 nM",,"αCD20-TCB 0,01 nM","αTIGIT 10 µg/mL",,"Combo",
"αPD1-TIM3 1 µg/mL","αCD20-TCB 0,01 nM",,"αCD20-TCB 0,01 nM","αPD1-TIM3 1 µg/mL",,"Combo",
"αPD1-ct 1 µg/mL","αCD20-TCB 0,01 nM",,"αCD20-TCB 0,01 nM","αPD1-ct 1 µg/mL",,"Combo",
"αPD1-LAG3 1 µg/mL","αCD20-TCB 0,01 nM",,"αCD20-TCB 0,01 nM","αPD1-LAG3 1 µg/mL",,"Combo",
"αCD20-TCB 0,01 nM","αCD19-41BBL 0,1795 µg/mL",,"αCD20-TCB 0,01 nM","αCD19-41BBL 0,1795 µg/mL",,"Combo",
"αPDL1 10 µg/mL","αCD19-41BBL 0,1795 µg/mL","αCD20-TCB 0,01 nM","αCD20-TCB 0,01 nM","αCD19-41BBL 0,1795 µg/mL","αPDL1 10 µg/mL","Combo",
"αCD19-CD28 0,1464 µg/mL","αCD19-41BBL 0,1795 µg/mL","αCD20-TCB 0,01 nM","αCD20-TCB 0,01 nM","αCD19-41BBL 0,1795 µg/mL","αCD19-CD28 0,1464 µg/mL","Combo",
"αCD19-CD28 0,1464 µg/mL","αCD20-TCB 0,01 nM",,"αCD20-TCB 0,01 nM","αCD19-CD28 0,1464 µg/mL",,"Combo",
"αCD20-TCB 10 nM","αPDL1 10 µg/mL",,"αCD20-TCB 10 nM","αPDL1 10 µg/mL",,"Combo",
"αTIGIT 0,1 µg/mL","αCD20-TCB 0,1 nM",,"αCD20-TCB 0,1 nM","αTIGIT 0,1 µg/mL",,"Combo",
"αCD79-MMAE 1 µg/mL","αGA101 0,1 µg/mL",,"αCD79-MMAE 1 µg/mL","αGA101 0,1 µg/mL",,"Combo",
"αCD79-MMAE 1 µg/mL","αTIGIT 0,1 µg/mL",,"αCD79-MMAE 1 µg/mL","αTIGIT 0,1 µg/mL",,"Combo",
"αPD1-ct 1 µg/mL","αTIGIT 0,1 µg/mL",,"αPD1-ct 1 µg/mL","αTIGIT 0,1 µg/mL",,"Combo",
"αTIGIT 0,1 µg/mL",,,"αTIGIT 0,1 µg/mL",,,"Single","Inhibiteur_CP"
"αTIGIT 0,1 µg/mL","αCD20-TCB 1 nM",,"αCD20-TCB 1 nM","αTIGIT 0,1 µg/mL",,"Combo",
"αTIGIT 0,1 µg/mL","αGA101 0,1 nM",,"αGA101 0,1 nM","αTIGIT 0,1 µg/mL",,"Combo",
"αTIGIT 0,1 µg/mL","αPDL1 10 µg/mL",,"αPDL1 10 µg/mL","αTIGIT 0,1 µg/mL",,"Combo",
"αPD1-TIM3 1 µg/mL","αTIGIT 0,1 µg/mL",,"αTIGIT 0,1 µg/mL","αPD1-TIM3 1 µg/mL",,"Combo",
"αPD1-LAG3 1 µg/mL","αTIGIT 0,1 µg/mL",,"αTIGIT 0,1 µg/mL","αPD1-LAG3 1 µg/mL",,"Combo",
"αPD1-IL2v 0,1 µg/mL",,,"αPD1-IL2v 0,1 µg/mL",,,"Single",
"αPD1-IL2v 0,1 µg/mL","αCD20-TCB 0,1 nM",,"αCD20-TCB 0,1 nM","αPD1-IL2v 0,1 µg/mL",,"Combo",
"αPD1-IL2v 0,1 µg/mL","αCD20-TCB 1 nM",,"αCD20-TCB 1 nM","αPD1-IL2v 0,1 µg/mL",,"Combo",
"αPD1-IL2v 0,1 µg/mL","αPDL1 10 µg/mL",,"αPDL1 10 µg/mL","αPD1-IL2v 0,1 µg/mL",,"Combo",
"αCD79-ct 1 µg/mL","αTIGIT 0,1 µg/mL",,"αCD79-ct 1 µg/mL","αTIGIT 0,1 µg/mL",,"Combo",
"αGA101 0,1 µg/mL",,,"αGA101 0,1 µg/mL",,,"Single","GA101"
"αGA101 0,1 µg/mL","αCD19-41BBL 0,1795 µg/mL",,"αGA101 0,1 µg/mL","αCD19-41BBL 0,1795 µg/mL",,"Combo",
"αCD79-ct 1 µg/mL","αGA101 0,1 µg/mL",,"αCD79-ct 1 µg/mL","αGA101 0,1 µg/mL",,"Combo",
"αPD1-IL2v 0,1 µg/mL","αCD19-41BBL 0,1795 µg/mL",,"αPD1-IL2v 0,1 µg/mL","αCD19-41BBL 0,1795 µg/mL",,"Combo",
"αFAP-IL2v 0,1 µg/mL",,,"αFAP-IL2v 0,1 µg/mL",,,"Single",
"αFAP-IL2v 0,1 µg/mL","αCD20-TCB 0,1 nM",,"αCD20-TCB 0,1 nM","αFAP-IL2v 0,1 µg/mL",,"Combo",
"αFAP-IL2v 0,1 µg/mL","αCD20-TCB 1 nM",,"αCD20-TCB 1 nM","αFAP-IL2v 0,1 µg/mL",,"Combo",
"αFAP-IL2v 0,1 µg/mL","αPDL1 10 µg/mL",,"αPDL1 10 µg/mL","αFAP-IL2v 0,1 µg/mL",,"Combo",
"αFAP-IL2v 0,1 µg/mL","αCD19-41BBL 0,1795 µg/mL",,"αCD19-41BBL 0,1795 µg/mL","αFAP-IL2v 0,1 µg/mL",,"Combo",
"αCD19-41BBL 0,1795 µg/mL","αTIGIT 10 µg/mL",,"αCD19-41BBL 0,1795 µg/mL","αTIGIT 10 µg/mL",,"Combo",
"αCD19-41BBL 0,1795 µg/mL","αPD1-TIM3 1 µg/mL",,"αCD19-41BBL 0,1795 µg/mL","αPD1-TIM3 1 µg/mL",,"Combo",
"αPDL1 10 µg/mL","αCD19-41BBL 0,1795 µg/mL","αCD20-TCB 10 nM","αCD20-TCB 10 nM","αCD19-41BBL 0,1795 µg/mL","αPDL1 10 µg/mL","Combo",
